,Description,Fixing_time,Severity,Priority
3875,"The sccs and rcs id strings we embed in
our libraries are static variables with
no references to them.  The IRIX cc compiler
optimizes away these unused variables, and
hence the 'what' and 'ident' commands can't
find any NSPR version strings in our libraries
on IRIX.

The fix is to add dummy references to the
sccs and rcs id strings in the same files.",1,normal,P3
3876,"RE: Seamonkey Win32 build on Apr 7 (Build ID: 1999040710)
Steps:
1. Run apprunner.exe
2. From Tasks menu, select Messenger to open the Mail Message window
3. Click on Inbox to display messages in the Thread pane
4. Select a message from the Thread pane
5. Click on the Delete button
Actual result: nothing happens, message is not deleted. No crash though.
Expected result: The message should be deleted.",0,normal,P3
3877,"Use the navigator.xul file in the about url
or change
appCore.setContentWindow(window.frames[0].frames[1]);
to appCore.setContentWindow(window.frames[0]);

Start the mac and it crashes.",0,normal,P1
3878,"The behaviour occurs on the 7 April 1999 optimized build, on Win 95 OSR 2. Also
see it on Win 98, and Win NT4 Workstation with SP4.

The URL above consists of a table which should always cover 100% of the screen
width.

What should happen:
  * Brown background of table should always cover the entire width of the
browser window.
  * Right hand images should always be at the right-hand edge of the table

What actually happens:

  * When the browser window is sized somewhere between 540 pixels (the sum of
all adjacent images) and 680 pixels (the width in pixels stated in the table
cells) the table gets 'stuck' at 540 pixels.
  * When the browser window is resized to over 680 pixels, the table resizes
normally.",179,normal,P3
3879,"The list attribute ""compact"" seems to have no affect on lists.  Observe the
following code in action:

<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">
<HTML>
<HEAD>
<TITLE></TITLE>
</HEAD>
<BODY>
<OL compact>
  <LI>List item 1
  <LI>List item 2
  <LI>List item 3
</OL>

<OL>
  <LI>List item 1
  <LI>List item 2
  <LI>List item 3
</OL>
</BODY>
</HTML>",0,normal,P3
3880,"Right now only libnspr and libplc have
libVersionPoint() and the sccs/rcs ids.
We need to add these to libplds and
libprstrms.",11,normal,P3
3881,"The PRVersionDescription structures in libnspr and
libplc are declared static.  This means the symbols
prVersionDescription_libnsrp21 and prVersionDescription_libplc21
cannot be looked up in a debugger.  The 'static'
qualifier should be removed.",203,normal,P3
3882,"build: 1999040711
platform: all
expected results: page should load and display similar to display using 4.51
what happens: page begins to load then abruptly stops with minimal objects
loaded

why: looking at the content of the page, the page is constructed using multiple
and nested LAYER tags, in addition, the page contains 19 SPACER tags and 23
TABLE tags. Also, they have a comment that contains script data prior to the
<HTML> element. As a local copy, the page would render but, since the LAYER tags
were not recognized, the data was piled on top of each other.",3,normal,P3
3883,"We crash in viewer and apprunner with the following stack:

nsCParserNode::GetKeyAt(unsigned int 2) line 250 + 3 bytes
CreateContentObject(const nsIParserNode & {...}, nsHTMLTag eHTMLTag_img,
nsIDOMHTMLFormElement * 0x00000000, nsIWebShell * 0x01530b10, nsIHTMLContent * *
0x0012fbd0) line 800 + 18 bytes
SinkContext::AddLeaf(const nsIParserNode & {...}) line 1079 + 35 bytes
HTMLContentSink::AddLeaf(HTMLContentSink * const 0x03d0d4b0, const nsIParserNode
& {...}) line 1979 + 15 bytes
CNavDTD::AddLeaf(const nsIParserNode & {...}) line 2465 + 31 bytes
CNavDTD::HandleDefaultStartToken(CToken * 0x0145b590, nsHTMLTag eHTMLTag_img,
nsIParserNode & {...}) line 985 + 12 bytes
CNavDTD::HandleStartToken(CToken * 0x0145b590) line 1181 + 25 bytes
NavDispatchTokenHandler(CToken * 0x0145b590, nsIDTD * 0x0169b630) line 243 + 12
bytes
CTokenHandler::operator()(CToken * 0x0145b590, nsIDTD * 0x0169b630) line 80 + 14
bytes
CNavDTD::HandleToken(CNavDTD * const 0x0169b630, CToken * 0x0145b590, nsIParser
* 0x03d0b280) line 633 + 18 bytes
CNavDTD::BuildModel(CNavDTD * const 0x0169b630, nsIParser * 0x03d0b280,
nsITokenizer * 0x0169bf80, nsITokenObserver * 0x00000000, nsIContentSink *
0x03d0d4b0) line 501 + 20 bytes
nsParser::BuildModel() line 847 + 34 bytes
nsParser::ResumeParse(nsIDTD * 0x00000000) line 799 + 11 bytes
nsParser::OnStopBinding(nsParser * const 0x03d0b284, nsIURL * 0x03d2b520,
unsigned int 0, unsigned short * 0x03ccaf10) line 1026 + 17 bytes
nsDocumentBindInfo::OnStopBinding(nsDocumentBindInfo * const 0x03d2b3d0, nsIURL
* 0x03d2b520, unsigned int 0, unsigned short * 0x03ccaf10) line 1986 + 30 bytes
OnStopBindingProxyEvent::HandleEvent(OnStopBindingProxyEvent * const 0x03ccaec0)
line 591 + 45 bytes
StreamListenerProxyEvent::HandlePLEvent(PLEvent * 0x03ccaec4) line 471 + 12
bytes
PL_HandleEvent(PLEvent * 0x03ccaec4) line 476 + 10 bytes
PL_ProcessPendingEvents(PLEventQueue * 0x012ef4c0) line 437 + 9 bytes
_md_EventReceiverProc(void * 0x021e03d8, unsigned int 49456, unsigned int 0,
long 19854528) line 799 + 9 bytes
USER32! 77e71250()",0,major,P3
3884,"build: 1999040711
platform: win95
other platforms: mac

expected results: resultant page from selection should render the appropriate
data

what happens: on win95 a new browser window is launched but, the content of the
browser window is as if you took a screen grab. On a mac, it isn't functional.
Will check linux.",36,normal,P3
3885,"Try going to the above url with a Linux build.  You'll crash with the following
call stack:

#0  0x40176376 in net_finish_setup_http_stream (ce=0x84847c8) at mkhttp.c:2963
#1  0x40175ac9 in net_setup_http_stream (ce=0x84847c8) at mkhttp.c:2645
#2  0x40177249 in net_ProcessHTTP (ce=0x84847c8) at mkhttp.c:3551
#3  0x40243003 in NET_ProcessNet (ready_fd=0x8417250, fd_type=2)
    at mkgeturl.c:3359
#4  0x4024aee1 in NET_PollSockets () at mkselect.c:298
#5  0x4026c342 in nsNetlibService::NetPollSocketsCallback (aTimer=0x8485ae8,
    aClosure=0x807d8f8) at nsNetService.cpp:1277
#6  0x40155de9 in TimerImpl::FireTimeout (this=0x8485ae8) at nsTimer.cpp:73
#7  0x401562d2 in nsTimerExpired (aCallData=0x8485ae8) at nsTimer.cpp:189
#8  0x40a59990 in g_timeout_dispatch (source_data=0x8377a38,
    current_time=0xbffffab0, user_data=0x8485ae8) at gmain.c:1147
#9  0x40a58c83 in g_main_dispatch (current_time=0xbffffab0) at gmain.c:647
#10 0x40a5920f in g_main_iterate (block=1, dispatch=1) at gmain.c:854
#11 0x40a59391 in g_main_run (loop=0x8200b08) at gmain.c:912
#12 0x4098644b in gtk_main () at gtkmain.c:475
#13 0x400921d8 in nsAppShell::Run (this=0x80744b0) at nsAppShell.cpp:208
#14 0x40017d55 in nsAppShellService::Run (this=0x8125718)
    at nsAppShellService.cpp:186
#15 0x804a8cc in main (argc=1, argv=0xbffffbd4) at nsAppRunner.cpp:337",126,normal,P3
3886,"build: 1999040711
platform: win95, mac

expected: to be directed to the appropriate web page

what happens: selecting the option crashes the app.

APPRUNNER caused an invalid page fault in
module <unknown> at 00de:00000013.

talkback tracking ID DGV58MWZ",4,normal,P1
3887,"build: 1999040711
platform: win95
other platforms: mac and linux option is not functional

expected results: help index is displayed

what happens: the app crashes

how to reproduce:
use optimized build
select Help | Help Contents

APPRUNNER caused an invalid page fault in
module <unknown> at 00de:32dd8a5f.

talkback tracking id DGP00QWL",0,normal,P3
3888,"Need to update the RDF parser and associated files to use the latest RDF
prefix. It'd be nice if we could also handle ""equivalent"" RDF.",12,normal,P3
3889,"Bring up the editor app core.  make a line or two of text bold.  remember what
the text is.  make an interior portion of it italic.  remember what that was.
now look at what you get - some text will be missing.

For a different look at the same problem, make the italic portion overlap the
begining of the bold portion.  This may cause some text to be moved to a new
location.

Greg, I recommend assigning this to Steve, and Steve can reassign to me if this
somehow is more range gravity woes.  Or if Steve is doomed you should assign
straight to me.",20,major,P3
3890,"Compiling on an SGI with the native compiler (MIPSpro 7.2.1.3m),
the compiler gives some rather nasty warnings:

""/cs/src/mozilla/mozilla/js/src/xpconnect/src/xpcwrappednativeclass.cpp"", line
361: warning(3150):
          class ""nsXPTType"" has no copy assignment operator. A copy assignment
          operator of the form: function
          ""nsXPTType::operator=(const nsXPTType &)"" has been implicitly
          defined. The implicitly defined copy assignment operator will
          perform a bitwise copy. Previous compiler versions may have used
          assignment operator functions defined in this class with conversion
          operators as copy assignment operator. This change may lead to
          different runtime behavior. Define a copy assignment operator if
          necessary.
      v.type = constant->GetType();
      ^

""/cs/src/mozilla/mozilla/js/src/xpconnect/src/xpcwrappednativeclass.cpp"", line
448: warning(3150):
          class ""nsXPTType"" has no copy assignment operator. A copy assignment
          operator of the form: function
          ""nsXPTType::operator=(const nsXPTType &)"" has been implicitly
          defined. The implicitly defined copy assignment operator will
          perform a bitwise copy. Previous compiler versions may have used
          assignment operator functions defined in this class with conversion
          operators as copy assignment operator. This change may lead to
          different runtime behavior. Define a copy assignment operator if
          necessary.
          dp->type = type;
          ^",0,normal,P3
3891,"Seamonkey  99040717 on linux
Hardware:
System OS: linux
1. Launch apprunner
2. Open Messenger via Task menu
3. Notice there is a new area to the right of Thread pane, it's blank.
4. Notice the separator bar between Sidebar (folder)pane and Thread pane is
missing, can't resize panes correctly.
If I try to resize by dragging the left side of the message pane to the left,
strange things start happening...mousing over the panes cause resizing just by
mouse movement, unpredictable results.",0,major,P1
3892,"Create the following icons for the addressbook (per Mauro's request):

Create a new card
Create a new list
Edit the selected card
New message
Lookup an address
Start netscape conference (??? --Edwin)
Delete selected cards",2,trivial,P3
3893,"Seamonkey  1999040717 win32
Hardware: compaq 133
System OS: win95
1. Launch apprunner
2. Open Messenger via Task menu
3. Notice there is a new area to the right of Thread pane, it's filled with
unrecognizable garbage.
4. Notice the separator bar between Sidebar (folder)pane and Thread pane is
missing, can't resize panes correctly.
If I try to resize by dragging the left side of the message pane to the left,
strange things start happening...unpredictable resizing.",0,major,P1
3894,"If you view something with smart quotes in it under linux, the quotes themselves
are drawn about one line too high on the screen. The URL above contains a simple
text case that shows it very well.",85,minor,P3
3895,"My linux box is only capable of displaying 256 colors on the screen due to
hardware limitations. When I start Communicator or Navigator 4.07, they look
like any other applications and the window manager looks okay too. However, when
I start apprunner, everything else turns all kinds of wiggy colors (black,
purple, etc.), and the apprunner window can have graphic problems as well (for
example, the menu and title bars turn dark blue and purple). This has never
worked for me. Phillip Bond sez it has something to do with using a private
color map...?",392,minor,P3
3896,International date/time format for the message thread pane for M5.,39,normal,P3
3897,"Linux only (works fine on Mac OS and Windows), apprunner only (doesn't crash
using viewer). If you try to load either of the URLs above, apprunner dies.
Here's what it sez in the console:

Gtk-CRITICAL **: file gtkstyle.c: line 680 (gtk_style_destroy): assertion
style->attach_count -- 00' failed.",0,normal,P1
3898,"GECKO caused an invalid page fault in
module KERNEL32.DLL at 0157:bff99dbd.
Registers:
EAX=c0015eb4 CS=0157 EIP=bff99dbd EFLGS=00010212
EBX=0080fe28 SS=015f ESP=0070fe2c EBP=007100c8
ECX=00000000 DS=015f ESI=00a40100 FS=188f
EDX=00710110 ES=015f EDI=00000000 GS=0000
Bytes at CS:EIP:
53 8b 15 8c 19 fc bf 56 89 4d e4 57 89 4d dc 89
Stack dump:",0,major,P1
3899,"Bear with me on this one... The URL above has a peach background color.
Therefore, a radio button should be peachy everywhere except in the circle
itself. However, what you see is essentially a white square with a circle in the
middle of it - you should see a peach square that matches the rest of the page
with a white circle in the middle of it.",6,normal,P4
3900,"If you load the URL above on a Macintosh, you should see one or two small lines
of garbage - horizontal lines above and below the circle of the radio buttons.
Depending on whether or not you have viewed other pages, the garbage will
differ, but it should always be there. Expected result: nothing around the radio
buttons except pure white.",146,normal,P3
3901,"If you load either of the above URLs under linux, you get small bits of garbage
instead of radio buttons. If you don't see them at first, move the cursor around
the screen (over the button bar is good) and watch as the radio buttons jitter
with different bits of garbage.",25,normal,P4
3902,"The banner on the page is the wrong color (it is gray in Netscape 4.51 & blue in
Mozilla) and the buttons on the right edge of the page have tiny spaces between
them.",41,major,P5
3903,"Version: Apprunner
Build:April 8, 1999
Platform: Mac
Other Platforms: Win 98, Win 95, Win NT
Expected Results: Vertical scroll bar should be on right side of window and not
disappear.
What I got: By default, vertical scrollbar is displayed on left side. Going to a
url causes the scroll bar to disappear.

Steps to Reproduce:

1) Launch Apprunner.
2) After Apprunner loads, notice the location of the vertical scrollbar.
3) Type in a url in the location field and press return.
4) The vertical scroll bar disappears.",0,normal,P1
3904,"The topic page of the forum is narrower than it shold be it should fill more of
the page (it should be two times wider)",103,minor,P3
3905,test,0,normal,P3
3906,"This is causing problems for people: the autodection of libIDL seems to be a
bit flaky, and sometimes breaks stuff.

For now, I'd like to remove mozilla/rdf/base/idl from the build for M4.

Mostly this is because my IDL makefile is crappy and isn't ready for primetime.",0,normal,P3
3907,"using 4/7 build of apprunner on Windows

1) launch apprunner -editor
2) highlight some text.
3) click on Bold/Italic/underline button

here are the issues:

  a) for italic and underline, the highlighting disappears after clicking
     on those style buttons
  b) for bold, still can't notice that the text looks bold thru the highlight.
     I do see the font size increase thru the highlight.
     (I might need to recheck this in the 4/8 build. fix might have not made it.
  c) after clicking any of the style buttons(bold, italic, underline). To
     change it back to the original text, it doesn't work. Buttons don't
     revert to original text.

I was gonna file these as 3 separate bugs, but decided to lump everything
into one bug.",323,normal,P3
3908,"In Apprunner, type a URL of a file on an http server that is not an html file
(such as a .exe file). The download dialog appears.

The way you tell it where to save the file is to type in a path (a unix path is
expected, by the way, with forward slashes, and with an initial slash for an
absolute path).

We need a real file picker here.",19,normal,P1
3909,"In Apprunner, type a URL of a file on an http server that is not an html file
(such as a .exe file). The download dialog appears. Type in your destingation
file path.

The download works, but the files are always text.

We need to

1. Provide an overload of nsFileSpec.Create() that can take a mime type, and sets
the creator and signature.

2. Enhance nsFileSpec.Create() so that it sniffs the file suffix (if any) and
sets the type and creator using internet config.",257,normal,P2
3910,"On 1999-04-07-18 build:

Use the below html to try and do multiple selection (shift-click select) of list
menu items:

<html>
<head>
	<title></title>
</head>
<body>
	<form>
		<select multiple name=testcase size=4>
					<option value=John>John Lennon</option>
					<option value=George>George Harrison</option>
					<option value=Paul>Paul McCartney</option>
					<option value=Ringo>Ringo Starr</option>
		</select",84,major,P1
3911,"I would like to see a preference that allows for multiple browser windows (with
different start pages) to launch at start-up. At least two.

For example, I would then be able to launch My Netscape and Calendar Express
when my browser launched, in addition to Mail and anything else.",749,normal,P3
3912,"Need to implment borderless top-level window on the Mac.
This is a blocker for frame-based combo boxes.
This is also a blocker for XPFE popup trees.",118,blocker,P3
3913,"Need to implment borderless top-level windows on Linux.
This is a blocker for frame-based combo boxes.
This is also a blocker for XPFE popup trees.",60,normal,P3
3914,"Need to implement View support for borderless top-level windows
This is a blocker for frame-based combo boxes.
This is also a blocker for XPFE popup trees.",45,normal,P3
3915,"The table looks wrong. I think the reason it looks wrong, is the banner is in
the table. The banner is seposed to be in the space above in the short blank
long box. I think you can figure out where the banner is seposed to be.",5,major,P3
3916,"On Linux only, the Shift key behaves like the Control key when viewing the
following HTML:

<select multiple name=testcase size=4>
<option value=John>John Lennon</option>
<option value=George>George Harrison</option>
<option value=Paul>Paul McCartney</option>
<option value=Ringo>Ringo Starr</option>
</select>

I would expect the Shift key to select multiple items (ie if John is
highlighted, shift-clicking on Ringo should select all 4 items). However, it
behaves like the Control key (ie if John is highlighted, shift-clicking on Ringo
selects Ringo but not George and Paul).

This works correctly on Windows and not at all on Mac OS (see bug 4777 for the
Mac info).",187,normal,P3
3917,"This is a random bug sometimes it happens most of the time it doesn't. The
scollbar in Mozilla does not appear (you can't scroll on the page) it does not
happen on a certian page, it happens on any site and it is randon so mybe it
will be hard for you to reproduce. Last time it happened for me I was a
www.zdtv.com/",0,major,P3
3918,"On the Mac, if you use the size attribute with the select tag to specify how
many items to display on the screen, a vertical scrollbar is drawn regardless of
whether or not it's needed to view everything in the list. Here's the HTML
snippet:

<select multiple name=testcase size=4>
<option value=John>John Lennon</option>
<option value=George>George Harrison</option>
</select>

Apprunner correctly draws a list four items high, but it incorrectly adds a
vertical scrollbar. This works on Windows. Linux exhibits a problem
that may or may not be described in another bug (it doesn't draw a horizontal
scrollbar / it doesn't draw the area wide enough to display everything).",5,minor,P3
3919,"In the M4 build, there is a preferences window that has some limited
functionality. To make it work currently, you have to add a prefs file manually
to your file system.

It would be better if this file could be created automatically, if it is absent.",0,normal,P1
3920,"I'd like the Conn::search method to handle calls like

   search($base, $scope, $filter, @attr);


This seems like a much more common/useful feature.",2015,normal,P3
3921,"Need a way to do things like

   search($base, $scope, $filter, ""DN-ONLY"");

or something like that. Other convenint shortcuts would be ""ALL"" for
(objectclass=*)  etc. I'd like to look through all such cases, and make the
appropriate additions to Conn.pm and Entry.pm.",2015,normal,P3
3922,"Leif,

Below are the pm's that have good cert behavior and bad ( top) behavior.  I
fetched them from the CVS today, but they are certainly the same ones I was
talking about in my original message.  I had fetched them around 02:30 Sunday.
I have some other stuff to work on, and I guess I can stall on the question of
whether I can copy certificates.  I would rather just give a positive answer
when it all works.  I will be focusing on NT from here on.

I don't know if it matters which NT or SDK I'm using.  I'm running NT4 sp4, the
domestic 3.1 SDK, ActivePerl build 509, DS311, and ES 3.6.

Do you have an idea what part of the code this problem is coming from?  I would
like to, at least attempt to, read through the code and see if I can make heads
or tails of it.

Steve

$Id: API.pm,v 1.13.2.4 1999/03/23 21:41:58 leif%netscape.com Exp $
$Id: Conn.pm,v 1.19.2.4 1999/03/23 21:41:58 leif%netscape.com Exp $
 $Id: Entry.pm,v 1.10.2.6 1999/03/26 09:42:31 leif%netscape.com Exp $
 $Id: LDIF.pm,v 1.6.2.8 1999/04/01 19:36:23 kristian%netscape.com Exp $
$Id: Utils.pm,v 1.11.2.3 1999/03/23 21:41:59 leif%netscape.com Exp $

Leif Hedstrom wrote:

> ""Steven T. Hatton"" wrote:
>
> > I then downloaded from the 1_3 tree.  That seems to work ok for 64-bit
> > encoding of certificates, but (top) is now ( top).
>
> Is that the 1.3 from the CVS server, or from the FTP site? The CVS server
> has new code checked in, but I haven't created a snapshot for the for that
> yet (the FTP server has v1.3.1). I remember having this ( top) problem as
> well, but can not reproduce it anymore.
>
> Let me know what versions you are using (e.g. send me the header IDs). I
> can also send you a patch to go from v1.3.1 to the current CVS state if you
> like. I'm working on a v1.3.2 snapshot, but would like to finish a couple
> of more things before I do.
>
> -- leif",75,critical,P1
3923,"open test case
select from 2-9, make bold (Ctrl-B)
select from 2-8, make italic (Ctrl-I)
select from 2-4, make not bold (Ctrl-B)
crash in content iterator.
it looks like cN is the content node corresponding to <HTML>.  This node has no
parent, but no check is being made to see that GetParent returned a non-null
parent.  I don't think adding the check fixes anything, because we shouldn't be
getting to <HTML> anyway.  We should never be able to iterate above <BODY>,
right?",7,critical,P3
3924,"This may be the same bug as the one that broke mailnews. It is definitely a
regression since yesterday.

Edit/Preferences still brings up a window, but it is no longer drawn correctly.
The frame that should be on the right is plonked at full size over the entire
window.",60,normal,P3
3925,"Pull/build from April 8, 1999. Solaris 2.6, Purify, gcc 2.7.2.3.  Launch
apprunner, pull up editor, i selected some text, made it bold, italics, etc.
each undo thereafter (not sure about the very first undo, maybe each after the
first undo) caused this UMR.

****  Purify instrumented ./apprunner.pure (pid 16118)  ****
UMR: Uninitialized memory read (3 times):
  * This is occurring while in:
        nsEditor::JoinNodesImpl(nsIDOMNode*,nsIDOMNode*,nsIDOMNode*,int)
[nsEditor.cpp:1998]
        SplitElementTxn::Undo() [SplitElementTxn.cpp:112]
        nsTransactionItem::Undo() [nsTransactionItem.cpp:125]
        nsTransactionItem::UndoChildren() [nsTransactionItem.cpp:168]
        nsTransactionItem::Undo() [nsTransactionItem.cpp:109]
        nsTransactionManager::Undo() [nsTransactionManager.cpp:145]
        nsEditor::Undo(unsigned int) [nsEditor.cpp:721]
        nsTextEditor::Undo(unsigned int) [nsTextEditor.cpp:728]
        nsHTMLEditor::Undo(unsigned int) [nsHTMLEditor.cpp:224]
        nsEditorAppCore::Undo() [nsEditorAppCore.cpp:712]
        EditorAppCoreUndo(JSContext*,JSObject*,unsigned int,long*,long*)
[nsJSEditorAppCore.cpp:338]
        js_Invoke      [jsinterp.c:650]
        js_Interpret   [jsinterp.c:2183]
        js_Invoke      [jsinterp.c:666]
        js_Interpret   [jsinterp.c:2183]
        js_Invoke      [jsinterp.c:666]
        js_CallFunctionValue [jsinterp.c:735]
        JS_CallFunctionValue [jsapi.c:2369]
        nsJSEventListener::HandleEvent(nsIDOMEvent*) [nsJSEventListener.cpp:93]

nsEventListenerManager::HandleEvent(nsIPresContext&,nsEvent*,nsIDOMEvent**,unsig
ned int,nsEventStatus&) [nsEventListenerManager.cpp:555]

RDFElementImpl::HandleDOMEvent(nsIPresContext&,nsEvent*,nsIDOMEvent**,unsigned
int,nsEventStatus&) [nsRDFElement.cpp:2200]
        nsXULCommand::DoCommand() [nsXULCommand.cpp:174]
        nsXULCommand::MenuSelected(const nsMenuEvent&) [nsXULCommand.cpp:205]
        nsMenuItem::MenuSelected(const nsMenuEvent&) [nsMenuItem.cpp:327]
        menu_item_activate_handler(_GtkWidget*,void*)
[nsGtkEventHandler.cpp:625]
        gtk_marshal_NONE__NONE [gtkmarshal.c:363]
        gtk_handlers_run [gtksignal.c:1909]
        gtk_signal_real_emit [gtksignal.c:1469]
        gtk_signal_emit [gtksignal.c:552]
        gtk_widget_activate [gtkwidget.c:2810]
  * Reading 4 bytes from 0xefffcc14 on the stack.
  * Address 0xefffcc14 is local variable ""result"" in function
nsEditor::JoinNodesImpl(nsIDOMNode*,nsIDOMNode*,nsIDOMNode*,int).",38,normal,P3
3926,"Pull/build from April 8, 1999. Solaris 2.6, Purify, gcc 2.7.2.3.  Launch
apprunner, pull up editor.  I inserted a link, undid the link insertion and then
re-did the link insertion and got a coredump.


****  Purify instrumented ./apprunner.pure (pid 16118)  ****
COR: Fatal core dump:
  * This is occurring while in:
        _p921static    [crtn.o]
        _resetsig      [sig.c]
        _sigon         [libthread.so.1]
        _thrp_kill     [thread.c]
        abort          [libc.so.1]
        PR_Abort       [prlog.c:461]
        nsDebug::Abort(const char*,int) [nsDebug.cpp:93]
        nsDebug::Break(const char*,int) [nsDebug.cpp:108]
        nsDebug::Assertion(const char*,const char*,const char*,int)
[nsDebug.cpp:140]
        DeleteTextTxn::Do() [DeleteTextTxn.cpp:65]
        EditTxn::Redo() [EditTxn.cpp:52]
        EditAggregateTxn::Redo() [EditAggregateTxn.cpp:93]
        DeleteRangeTxn::Redo() [DeleteRangeTxn.cpp:186]
        EditAggregateTxn::Redo() [EditAggregateTxn.cpp:93]
        EditAggregateTxn::Redo() [EditAggregateTxn.cpp:93]
        nsTransactionItem::Redo() [nsTransactionItem.cpp:207]
        nsTransactionItem::RedoChildren() [nsTransactionItem.cpp:253]
        nsTransactionItem::Redo() [nsTransactionItem.cpp:213]
        nsTransactionItem::RedoChildren() [nsTransactionItem.cpp:253]
        nsTransactionItem::Redo() [nsTransactionItem.cpp:213]
        nsTransactionManager::Redo() [nsTransactionManager.cpp:196]
        nsEditor::Redo(unsigned int) [nsEditor.cpp:745]
        nsTextEditor::Redo(unsigned int) [nsTextEditor.cpp:750]
        nsHTMLEditor::Redo(unsigned int) [nsHTMLEditor.cpp:234]
        nsEditorAppCore::Redo() [nsEditorAppCore.cpp:740]
        EditorAppCoreRedo(JSContext*,JSObject*,unsigned int,long*,long*)
[nsJSEditorAppCore.cpp:371]
        js_Invoke      [jsinterp.c:650]
        js_Interpret   [jsinterp.c:2183]
        js_Invoke      [jsinterp.c:666]
        js_Interpret   [jsinterp.c:2183]
  * Received signal 6 (SIGABRT - Abort)
  * Signal mask:
  * Pending signals:",34,critical,P3
